Time resolution is 1 ps
time:0, input_number:00000, reset:0, enable_loading:0, enable_counting:0, output_counter:xxxxx
time:5000, input_number:00000, reset:0, enable_loading:0, enable_counting:0, output_counter:00000
time:10000, input_number:00000, reset:0, enable_loading:0, enable_counting:1, output_counter:00000
time:15000, input_number:00000, reset:0, enable_loading:0, enable_counting:1, output_counter:00001
time:20000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00001
time:25000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00010
time:30000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00010
time:35000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00011
time:40000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00011
time:45000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00100
time:50000, input_number:00001, reset:0, enable_loading:1, enable_counting:1, output_counter:00100
time:55000, input_number:00001, reset:0, enable_loading:1, enable_counting:1, output_counter:00001
time:60000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00001
time:70000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00001
time:75000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00010
time:80000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00010
time:85000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00011
time:90000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00011
time:95000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00100
time:100000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00100
time:105000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00101
time:110000, input_number:00001, reset:1, enable_loading:0, enable_counting:1, output_counter:00101
time:115000, input_number:00001, reset:1, enable_loading:0, enable_counting:1, output_counter:00000
time:120000, input_number:00001, reset:1, enable_loading:0, enable_counting:0, output_counter:00000
time:130000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00000
time:135000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00001
time:140000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00001
time:145000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00010
time:150000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00010
time:155000, input_number:00001, reset:0, enable_loading:0, enable_counting:1, output_counter:00011
time:160000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00011
time:165000, input_number:00001, reset:0, enable_loading:0, enable_counting:0, output_counter:00100
